"Maize","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfume","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"87.00","129.00","91.00","175.00","110.00","N/A","164.00","152.00","59.00","280.00","85.00","14.00","19.00","46.00","243.00","76.00","178.00","280.00","336.00","284.00","N/A","36.00","10.00","9.00","ACCRA",2012-10-27
"92.00","N/A","N/A","180.00","115.00","N/A","130.00","130.00","75.00","400.00","160.00","8.00","15.00","94.00","300.00","150.00","300.00","320.00","450.00","233.00","70.00","35.00","8.00","8.00","TEMA",2012-10-27
"80.00","130.00","120.00","160.00","120.00","85.00","200.00","150.00","70.00","260.00","100.00","10.00","16.00","45.00","N/A","120.00","150.00","300.00","260.00","280.00","40.00","32.00","12.00","8.50","SEKTDI",2012-10-27
"83.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","46.00","190.00","80.00","9.00","10.00","31.00","400.00","96.00","295.00","300.00","400.00","320.00","28.00","28.00","8.00","8.00","KDUA",2012-10-27
" 96","100"," 80","160","100"," 80","150","160"," 40","200","220"," 14"," 17"," 36","140","100","180","220","200","250"," 16"," 25","  6","  8","CCOAST",2012-10-27
" 90.0","100.0"," 88.0","175.0","100.0"," 86.0","155.0","160.0"," 22.0","175.0","138.0","  5.0","  9.5"," 40.0","145.0"," 87.0","180.0","235.0","235.0","270.0"," 28.0"," 25.0","  7.6","  8.4","MKESSIM",2012-10-27
" 70.0"," 70.0"," 65.0","160.0","110.0","150.0","150.0","120.0"," 30.0","250.0"," 60.0","  9.0"," 20.0"," 30.0","150.0","120.0","140.0","350.0","230.0","200.0"," 32.0"," 45.0","  4.6","  8.5","KUMASI",2012-10-27
"54.00","75.00","110.00","156.00","108.00","150.00","160.00","90.00","20.00","220.00","200.00","10.00","15.00","24.00","100.00","30.00","120.00","300.00","360.00","280.00","27.00","N/A","17.00","7.50","EJURA",2012-10-27
"100.0"," 50.0"," 50.0","100.0"," 87.0","100.0","110.0","130.0"," 30.0","210.0","100.0","  8.0"," 15.0"," 30.0","116.0"," 80.0","200.0","300.0","290.0","210.0"," 10.0"," 30.0","  7.0","  8.5","OBUASI",2012-10-27
" 56"," 65"," 65","168"," 98"," 80","140","110"," 60","140","135","  5","  5"," 62","125"," 56","200","350","210","220"," 30"," 50","  5","  7","SUNYANI",2012-10-27
" 54"," 75"," 75","160","115"," 60","160"," 90"," 30","180","100"," 11"," 15"," 29","140"," 30"," 75","300","150","220"," 20"," 35","  3","  7","TMAN",2012-10-27
"73.00","120.00","73.00","140.00","85.00","90.00","119.00","131.00","45.00","220.00","N/A","9.00","N/A","55.00","280.00","N/A","160.00","N/A","490.00","246.00","35.00","55.00","8.00","9.00","HO",2012-10-27
"48.00","76.00","35.00","160.00","120.00","60.00","160.00","100.00","60.00","80.00","N/A","15.00","20.00","43.00","80.00","15.00","50.00","330.00","200.00","200.00","N/A","N/A","7.00","","TAMALE",2012-10-27
"55.00","93.00","75.00","105.00","90.00","60.00","150.00","60.00","N/A","200.00","N/A","14.00","16.00","30.00","N/A","N/A","120.00","200.00","N/A","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-10-27
"71.00","90.00","N/A","170.00","80.00","73.00","143.00","101.00","50.00","120.00","N/A","20.00","N/A","57.00","213.00","67.00","212.00","400.00","233.00","188.00","N/A","N/A","20.00","8.00","WA",2012-10-27
