"Maize (New)","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfume","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"88.00","128.00","78.00","168.00","108.00","N/A","150.00","141.00","61.00","283.00","100.00","28.00","38.00","44.00","237.00","87.00","167.00","225.00","410.00","296.00","N/A","38.00","9.00","9.00","ACCRA",2012-09-22
"83.00","N/A","N/A","170.00","114.00","N/A","130.00","130.00","80.00","300.00","110.00","10.00","15.00","50.00","300.00","150.00","250.00","270.00","380.00","200.00","50.00","40.00","13.00","8.00","TEMA",2012-09-22
"100.00","120.00","100.00","150.00","100.00","85.00","160.00","120.00","65.00","320.00","100.00","10.00","15.00","36.00","N/A","120.00","180.00","260.00","280.00","260.00","35.00","25.00","8.00","8.50","SEKTDI",2012-09-22
"84.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","45.00","N/A","80.00","11.00","14.00","31.00","400.00","80.00","220.00","250.00","220.00","320.00","27.00","30.00","6.00","8.00","KDUA",2012-09-22
" 88","100"," 75","180","100"," 85","120","130"," 40","220","220"," 15"," 18"," 35","130"," 80","180","200","180","250"," 15"," 25","  8","  8","CCOAST",2012-09-22
" 85.0","100.0"," 78.0","180.0","100.0"," 88.0","125.0","150.0"," 26.5","180.0","150.0","  6.0"," 10.0"," 38.0","110.0"," 53.5","180.0","175.0","185.0","250.0"," 25.0"," 20.0","  8.0","  8.7","MKESSIM",2012-09-22
" 80"," 70"," 65","150","100","150"," 95"," 90"," 27","300"," 55"," 15"," 30"," 30","160"," 85","100","170","180","300"," 24"," 45","  5","  8","KUMASI",2012-09-22
"38.00","75.00","110.00","156.00","108.00","140.00","140.00","90.00","25.00","180.00","200.00","10.00","15.00","24.00","150.00","30.00","70.00","300.00","400.00","260.00","27.00","N/A","17.00","7.50","EJURA",2012-09-22
" 80"," 50"," 50"," 50"," 87","100","110","130"," 30","200"," 80"," 15"," 25"," 30","108"," 80","140","260","270","210"," 10"," 30","  7","  8","OBUASI",2012-09-22
" 52.0"," 90.0"," 65.0","168.0"," 93.0"," 80.0","140.0","110.0"," 60.0","100.0","135.0","  8.0"," 10.0"," 36.0","100.0"," 48.0","160.0","260.0","150.0","230.0"," 30.0"," 35.0","  6.0","  6.8","SUNYANI",2012-09-22
" 46"," 80"," 78","160","110"," 65","180"," 90"," 25","180","120"," 10"," 14"," 29","175"," 40","175","230","280","250"," 20"," 35","  5","  7","TMAN",2012-09-22
"73.00","120.00","70.00","140.00","84.00","90.00","119.00","118.00","45.00","270.00","N/A","13.00","N/A","52.00","280.00","N/A","160.00","190.00","381.00","246.00","30.00","50.00","9.00","9.00","HO",2012-09-22
"48.00","76.00","35.00","160.00","120.00","60.00","160.00","88.00","60.00","160.00","N/A","15.00","20.00","43.00","112.00","20.00","70.00","270.00","320.00","180.00","8.00","N/A","10.00","9.00","TAMALE",2012-09-22
"70.00","93.00","73.00","150.00","100.00","65.00","140.00","70.00","N/A","200.00","N/A","20.00","18.00","30.00","N/A","N/A","60.00","100.00","N/A","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-09-22
"71.00","89.00","N/A","170.00","80.00","73.00","143.00","97.00","45.00","90.00","N/A","10.00","N/A","57.00","213.00","75.00","23.00","150.00","N/A","188.00","N/A","N/A","35.00","8.00","WA",2012-09-22
