"Maize","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfume","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"82.00","155.00","75.00","163.00","104.00","N/A","130.00","125.00","68.00","385.00","82.00","9.00","12.00","47.00","220.00","70.00","150.00","450.00","265.00","255.00","N/A","31.00","10.00","9.00","ACCRA",2012-12-29
"100.00","N/A","N/A","160.00","N/A","N/A","180.00","180.00","85.00","400.00","140.00","8.00","10.00","N/A","300.00","150.00","150.00","350.00","250.00","253.00","100.00","50.00","10.00","9.00","TEMA",2012-12-29
"100.00","130.00","120.00","150.00","140.00","100.00","190.00","190.00","70.00","400.00","95.00","8.00","15.00","45.00","N/A","100.00","150.00","380.00","200.00","300.00","45.00","35.00","10.00","9.00","SEKTDI",2012-12-29
"88.00","N/A","N/A","150.00","100.00","N/A","200.00","130.00","50.00","240.00","80.00","11.00","14.00","50.00","300.00","60.00","100.00","240.00","300.00","320.00","40.00","45.00","8.00","10.00","KDUA",2012-12-29
"100","100"," 85","160","100"," 90","150","160"," 45","270","320"," 14"," 17"," 42","140","105","180","400","230","260"," 15"," 25","  6","  8","CCOAST",2012-12-29
"110.0","100.0"," 60.0","185.0","110.0"," 90.0","165.0","170.0"," 38.0","290.0","200.0","  7.0"," 12.0"," 50.0","140.0"," 60.0","170.0","400.0","240.0","260.0"," 40.0"," 25.0","  8.0","  8.6","MKESSIM",2012-12-29
" 80.0"," 70.0"," 75.0","160.0","110.0"," 90.0","140.0","110.0"," 40.0","240.0","100.0","  8.0"," 14.0"," 50.0","135.0","100.0"," 50.0","420.0","182.0","260.0"," 34.0"," 45.0","  6.0","  8.5","KUMASI",2012-12-29
"50.00","75.00","100.00","140.00","120.00","110.00","140.00","100.00","30.00","220.00","200.00","7.00","8.00","26.00","100.00","30.00","90.00","340.00","160.00","250.00","30.00","N/A","17.00","8.00","EJURA",2012-12-29
" 90.0"," 50.0"," 50.0","110.0"," 87.0"," 90.0","175.0","130.0"," 35.0","250.0","100.0","  5.0"," 14.0"," 30.0"," 92.0"," 40.0"," 70.0","430.0","240.0","230.0"," 10.0"," 30.0","  7.0","  8.5","OBUASI",2012-12-29
" 56.0"," 65.0"," 65.0","168.0","105.0"," 80.0","140.0","110.0"," 75.0","180.0","135.0","  4.0","  5.5"," 62.0","100.0"," 24.0"," 60.0","400.0","210.0","240.0"," 50.0"," 50.0","  5.0","  7.0","SUNYANI",2012-12-29
" 46"," 75"," 75","170","110"," 50","150"," 90"," 36","300","110","  8"," 10"," 36","170"," 60"," 31","185","160","220"," 30"," 37","  5"," 10","TMAN",2012-12-29
"90.00","120.00","70.00","145.00","85.00","90.00","N/A","181.00","43.00","240.00","N/A","6.00","N/A","72.00","240.00","N/A","85.00","N/A","327.00","246.00","50.00","55.00","8.00","9.50","HO",2012-12-29
"52.00","70.00","66.00","80.00","60.00","45.00","120.00","98.00","50.00","100.00","N/A","10.00","15.00","43.00","67.00","40.00","100.00","420.00","190.00","238.00","N/A","N/A","10.00","9.00","TAMALE",2012-12-29
"55.00","93.00","75.00","125.00","90.00","70.00","120.00","92.00","N/A","180.00","N/A","10.00","12.00","30.00","N/A","N/A","140.00","240.00","N/A","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-12-29
"54.00","90.00","N/A","170.00","110.00","66.00","125.00","97.00","50.00","160.00","N/A","20.00","N/A","57.00","320.00","100.00","38.00","458.00","195.00","222.00","N/A","N/A","35.00","8.00","WA",2012-12-29
