"Maize (New)","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfume","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"96.00","148.00","81.00","171.00","109.00","N/A","164.00","138.00","69.00","330.00","85.00","25.00","33.00","44.00","255.00","105.00","165.00","263.00","413.00","288.00","N/A","10.00","9.00","9.00","ACCRA",2012-09-29
"83.00","N/A","N/A","170.00","114.00","N/A","130.00","130.00","85.00","300.00","110.00","15.00","20.00","94.00","300.00","140.00","230.00","270.00","450.00","233.00","50.00","35.00","12.00","8.00","TEMA",2012-09-29
"100.00","120.00","100.00","150.00","100.00","85.00","160.00","120.00","65.00","320.00","100.00","10.00","15.00","36.00","N/A","120.00","180.00","260.00","280.00","260.00","35.00","25.00","8.00","8.50","SEKTDI",2012-09-29
"84.00","N/A","N/A","150.00","100.00","N/A","130.00","120.00","45.00","160.00","80.00","10.00","13.00","31.00","400.00","100.00","250.00","290.00","220.00","320.00","28.00","30.00","6.00","8.00","KDUA",2012-09-29
" 88","100"," 75","160","100"," 60","120","130"," 42","250","220"," 13"," 17"," 32","130"," 80","200","160","200","280"," 15"," 25","  8","  8","CCOAST",2012-09-29
" 95.0","100.0"," 80.0","180.0","100.0"," 87.0","130.0","160.0"," 24.0","185.0","150.0","  6.5"," 12.0"," 39.0","120.0"," 62.0","200.0","190.0","220.0","280.0"," 28.0"," 22.0"," 10.0","  8.7","MKESSIM",2012-09-29
" 70.0"," 73.0"," 70.0","160.0","110.0","150.0","150.0","120.0"," 30.0","300.0"," 50.0"," 10.0"," 20.0"," 30.0","155.0","120.0","160.0","300.0","250.0","200.0"," 30.0"," 40.0","  5.2","  8.0","KUMASI",2012-09-29
"53.00","75.00","110.00","156.00","108.00","150.00","160.00","90.00","20.00","220.00","200.00","10.00","15.00","24.00","150.00","30.00","90.00","300.00","430.00","360.00","27.00","N/A","17.00","7.50","EJURA",2012-09-29
" 80"," 50"," 50","100"," 87","100","110","130"," 30","200"," 50"," 10"," 25"," 30","110"," 80","140","300","270","210"," 10"," 30","  7","  8","OBUASI",2012-09-29
" 52"," 65"," 65","173"," 93"," 80","140","110"," 60","100","135","  7","  8"," 36","100"," 40","150","300","320","230"," 30"," 35","  5","  7","SUNYANI",2012-09-29
" 46"," 80"," 78","160","110"," 65","175"," 90"," 25","180","120"," 10"," 15"," 29","175"," 40"," 94","240","280","200"," 20"," 34","  5","  7","TMAN",2012-09-29
"73.00","120.00","70.00","140.00","85.00","90.00","119.00","N/A","42.00","220.00","N/A","12.00","N/A","55.00","280.00","N/A","160.00","200.00","381.00","246.00","30.00","50.00","10.00","9.00","HO",2012-09-29
"48.00","76.00","35.00","160.00","120.00","60.00","160.00","88.00","60.00","88.00","N/A","15.00","20.00","43.00","112.00","20.00","70.00","270.00","320.00","180.00","N/A","N/A","10.00","9.00","TAMALE",2012-09-29
"50.00","93.00","73.00","150.00","100.00","65.00","150.00","70.00","N/A","200.00","N/A","20.00","18.00","30.00","N/A","N/A","90.00","150.00","N/A","N/A","N/A","N/A","N/A","8.00","BOLGA",2012-09-29
"71.00","89.00","N/A","170.00","80.00","73.00","143.00","97.00","45.00","110.00","N/A","10.00","N/A","57.00","213.00","67.00","25.00","330.00","272.00","188.00","N/A","N/A","35.00","8.00","WA",2012-09-29
