"Maize","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfume","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"88.00","170.00","86.00","165.00","109.00","N/A","150.00","151.00","85.00","305.00","101.00","10.00","13.00","49.00","215.00","118.00","330.00","165.00","248.00","275.00","30.00","33.00","8.00","10.00","ACCRA",2013-03-02
"100.00","N/A","N/A","160.00","N/A","N/A","180.00","180.00","100.00","500.00","160.00","10.00","15.00","65.00","250.00","160.00","200.00","185.00","250.00","250.00","100.00","50.00","10.00","10.00","TEMA",2013-03-02
"100.00","130.00","100.00","160.00","120.00","100.00","160.00","160.00","80.00","350.00","91.00","8.00","16.00","52.00","N/A","100.00","180.00","170.00","180.00","300.00","40.00","40.00","8.50","9.50","SEKTDI",2013-03-02
"70.00","N/A","100.00","160.00","108.00","N/A","170.00","140.00","50.00","280.00","90.00","17.00","20.00","50.00","400.00","180.00","460.00","130.00","240.00","300.00","40.00","45.00","9.00","10.00","KDUA",2013-03-02
" 96","100"," 85","160","100"," 90","150","160"," 46","300","240"," 15"," 19"," 45","140","120","300","188","250","280"," 14"," 30","  6","  9","CCOAS",2013-03-02
" 94.0"," 99.0"," 94.0","185.0","105.0"," 92.0","160.0","175.0"," 44.0","300.0","220.0","  6.3"," 12.0"," 47.0","180.0","130.0","320.0","150.0","200.0","280.0"," 26.0"," 27.0","  8.5","  8.4","XKESSI",2013-03-02
" 78.0"," 70.0"," 80.0","164.0","110.0"," 80.0","120.0","110.0"," 40.0","255.0"," 70.0","  8.5"," 17.0"," 50.0","132.0","160.0","140.0","160.0","160.0","280.0"," 36.0"," 47.0","  5.0","  9.0","KUMASI",2013-03-02
" 54.0"," 70.0"," 75.0","160.0","150.0"," 80.0"," 80.0"," 80.0"," 30.0","250.0","150.0","  7.0","  8.0"," 26.0","100.0"," 30.0"," 90.0","320.0","140.0","220.0"," 30.0",NA," 17.0","  8.5","EJUR",2013-03-02
" 90.0"," 50.0"," 50.0","154.0","135.0"," 90.0","150.0","157.0"," 40.0","300.0","100.0","  5.0"," 10.0"," 50.0","100.0","110.0","350.0","140.0","280.0","210.0"," 10.0","  8.0","  7.0","  8.5","OBUASI",2013-03-02
" 52.0"," 75.0"," 75.0","168.0"," 93.0"," 85.0","140.0","110.0"," 80.0","180.0","135.0","  4.0","  4.5"," 70.0","100.0"," 80.0"," 28.0","250.0","210.0","240.0"," 40.0"," 50.0","  6.0","  7.5","SUNYAN",2013-03-02
" 46"," 80"," 75","160","115"," 60","110","100"," 40","250"," 80"," 11"," 16"," 49","160","130","180"," 73","160","220"," 28"," 35","  7","  9","TMAN",2013-03-02
" 73","120","100","155","110",NA,"125","105"," 48","290",NA,"  7",NA," 42","245",NA,"200",NA,"300","225"," 20"," 60"," 20","  9","HO",2013-03-02
"54.00","67.00","26.00","160.00","120.00","45.00","118.00","78.00","58.00","100.00","N/A","10.00","15.00","43.00","67.00","N/A","90.00","300.00","200.00","200.00","N/A","N/A","10.00","9.00","TAMALE",2013-03-02
"65.00","93.00","75.00","145.00","110.00","70.00","96.00","92.00","N/A","250.00","N/A","10.00","12.00","30.00","N/A","N/A","180.00","150.00","180.00","120.00","N/A","N/A","N/A","","BOLGA",2013-03-02
"54.00","90.00","N/A","170.00","110.00","73.00","107.00","97.00","50.00","190.00","N/A","20.00","N/A","83.00","267.00","166.00","35.00","150.00","195.00","222.00","N/A","N/A","19.00","9.00","WA",2013-03-02
