"Maize","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfume","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"84.00","162.00","59.00","164.00","113.00","N/A","144.00","148.00","87.00","330.00","93.00","11.00","14.00","48.00","230.00","145.00","370.00","160.00","240.00","270.00","30.00","33.00","9.00","10.00","ACCRA",2013-03-09
"100.00","N/A","N/A","160.00","N/A","N/A","180.00","180.00","100.00","500.00","160.00","10.00","15.00","65.00","250.00","160.00","200.00","185.00","250.00","250.00","100.00","50.00","10.00","10.00","TEMA",2013-03-09
"100.00","130.00","100.00","160.00","120.00","100.00","160.00","160.00","90.00","420.00","120.00","8.50","18.00","52.00","N/A","200.00","400.00","160.00","200.00","350.00","45.00","45.00","10.00","9.00","SEKTDI",2013-03-09
"70.00","N/A","100.00","160.00","108.00","N/A","170.00","140.00","50.00","300.00","95.00","20.00","18.00","60.00","500.00","200.00","280.00","120.00","240.00","300.00","20.00","35.00","10.00","10.00","KDUA",2013-03-09
" 96","100"," 85","160","100"," 90","150","160"," 46","300","240"," 14"," 17"," 45","150","120","300","188","250","250"," 15"," 30","  7","  9","CCOAS",2013-03-09
" 92.0"," 98.0"," 90.0","185.0","100.0"," 92.0","160.0","175.0"," 48.0","320.0","190.0","  7.0"," 13.0"," 47.0","180.0","140.0","300.0","145.0","250.0","275.0"," 25.0"," 27.0","  8.0","  8.5","XKESSI",2013-03-09
" 80"," 73"," 70","164","110"," 85","120","110"," 42","240"," 90","  9"," 18"," 50","135","140","145","160","165","280"," 32"," 45","  5","  9","KUMASI",2013-03-09
" 50.0"," 75.0"," 70.0","160.0","150.0"," 80.0","140.0"," 80.0"," 30.0","250.0","150.0","  7.0","  8.0"," 26.0","100.0"," 30.0"," 90.0","200.0","170.0","220.0"," 30.0",NA," 17.0","  8.5","EJUR",2013-03-09
" 90.0"," 50.0"," 50.0","145.0","135.0"," 90.0","150.0","157.0"," 40.0","300.0","100.0","  5.0"," 10.0"," 50.0","100.0","110.0","350.0","140.0","280.0","210.0"," 10.0","  8.0","  7.0","  8.5","OBUASI",2013-03-09
" 52.0"," 75.0"," 75.0","168.0"," 93.0"," 85.0","140.0","110.0"," 80.0","180.0","135.0","  4.0","  4.5"," 70.0","100.0"," 80.0","280.0","250.0","210.0","240.0"," 40.0"," 50.0","  6.0","  7.5","SUNYAN",2013-03-09
" 46"," 75"," 75","160","115"," 60","110","100"," 40","260"," 80","  8"," 10"," 46","140","130","188"," 73","160","250"," 28"," 35","  7","  9","TMAN",2013-03-09
" 75","115"," 75","155","105",NA,"148","135"," 58","285",NA,"  7",NA," 48","165",NA,"267",NA,"230","225"," 25"," 65"," 10"," 10","HO",2013-03-09
"54.00","67.00","26.00","160.00","120.00","45.00","118.00","78.00","58.00","100.00","N/A","10.00","15.00","43.00","67.00","N/A","90.00","300.00","200.00","200.00","N/A","N/A","10.00","9.00","TAMALE",2013-03-09
"58.00","91.00","75.00","145.00","120.00","70.00","100.00","96.00","N/A","200.00","N/A","10.00","12.00","30.00","N/A","N/A","120.00","180.00","200.00","200.00","N/A","N/A","N/A","9.00","BOLGA",2013-03-09
"54.00","90.00","N/A","170.00","110.00","73.00","107.00","97.00","50.00","190.00","N/A","20.00","N/A","83.00","267.00","166.00","35.00","150.00","195.00","222.00","N/A","N/A","19.00","9.00","WA",2013-03-09
