"Maize","Rice Local (Perfumed)","Rice Local (Non-perfumed)","Rice Imported (Perfumed)","Rice Imported (Non-perfume","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"83.00","155.00","65.00","165.00","104.00","N/A","130.00","130.00","74.00","380.00","85.00","9.00","12.00","47.00","235.00","77.00","130.00","230.00","260.00","255.00","N/A","32.00","10.00","9.00","ACCRA",2013-01-19
"100.00","N/A","N/A","160.00","114.00","N/A","180.00","180.00","85.00","400.00","160.00","10.00","15.00","N/A","250.00","150.00","250.00","300.00","250.00","233.00","100.00","55.00","10.00","10.00","TEMA",2013-01-19
"100.00","120.00","100.00","160.00","120.00","100.00","180.00","180.00","85.00","320.00","100.00","8.00","16.00","48.00","N/A","130.00","250.00","460.00","200.00","300.00","45.00","40.00","9.00","9.50","SEKTDI",2013-01-19
"88.00","N/A","N/A","80.00","58.00","N/A","200.00","130.00","55.00","280.00","80.00","14.00","16.00","50.00","300.00","120.00","300.00","350.00","280.00","320.00","40.00","46.00","10.00","10.00","KDUA",2013-01-19
"100","100"," 85","160","100"," 90","150","160"," 45","280","230"," 13"," 18"," 42","140","105","250","350","250","280"," 15"," 25","  6","  8","CCOAST",2013-01-19
"110.0","100.0"," 90.0","185.0","110.0"," 90.0","165.0","175.0"," 40.0","270.0","180.0","  5.5"," 10.0"," 48.0","140.0"," 76.0","280.0","330.0","240.0","260.0"," 27.0"," 26.0","  8.0","  8.5","XKESSI",2013-01-19
" 75.0"," 70.0"," 75.0","160.0","115.0"," 90.0","120.0","100.0"," 42.0","240.0","100.0","  4.5"," 10.0"," 50.0","135.0"," 68.0"," 70.0","400.0","170.0","280.0"," 30.0"," 42.0","  4.0","  8.0","KUMASI",2013-01-19
" 53"," 75"," 70","160","150"," 90","140"," 80"," 30","250","150","  8","  8"," 26","100"," 30"," 70","360","140","220"," 30",NA," 17","  8","EJUR",2013-01-19
" 90.0"," 50.0"," 50.0","110.0"," 87.0"," 90.0","175.0","130.0"," 35.0","250.0","100.0","  5.0"," 14.0"," 50.0"," 80.0"," 40.0","210.0","230.0","280.0","210.0"," 10.0"," 80.0","  7.0","  8.5","OBUASI",2013-01-19
" 56.0"," 80.0"," 75.0","162.0","114.0"," 85.0","150.0","120.0"," 90.0","185.0","135.0","  4.0","  5.0"," 62.0","110.0"," 60.0"," 80.0","400.0","210.0","240.0"," 35.0"," 60.0","  6.0","  7.5","SUNYAN",2013-01-19
" 46"," 73"," 75","170","105"," 55","140"," 90"," 50","300","100","  8","  9"," 57","170"," 60"," 35","122","160","260"," 36"," 36","  4"," 10","TMAN",2013-01-19
"83.00","130.00","70.00","140.00","85.00","90.00","130.00","131.00","45.00","340.00","N/A","5.00","8.00","58.00","240.00","N/A","150.00","N/A","349.00","246.00","35.00","N/A","8.00","9.00","HO",2013-01-19
"54.00","67.00","32.00","160.00","120.00","45.00","118.00","78.00","58.00","100.00","N/A","10.00","15.00","43.00","67.00","40.00","90.00","300.00","200.00","200.00","N/A","N/A","10.00","9.00","TAMALE",2013-01-19
"66.00","90.00","73.00","125.00","105.00","65.00","100.00","100.00","N/A","180.00","N/A","10.00","12.00","30.00","N/A","N/A","60.00","250.00","N/A","N/A","N/A","N/A","N/A","9.00","BOLGA",2013-01-19
"54.00","90.00","N/A","170.00","110.00","73.00","125.00","89.00","50.00","190.00","N/A","20.00","N/A","83.00","267.00","116.00","72.00","250.00","175.00","139.00","N/A","N/A","25.00","8.00","WA",2013-01-19
