"Maize","Rice Local (Perfumed)","Rice Local (Non-perfume","Rice Imported (Perfume","Rice Imported (Non-perf","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"109.00","135.00","111.00","176.00","141.00","N/A","150.00","177.00","73.00","275.00","203.00","12.00","14.00","57.00","250.00","120.00","343.00","225.00","325.00","391.00","50.00","46.00","14.00","10.00","ACCRA",2014-06-07
"120.00","N/A","N/A","200.00","150.00","N/A","170.00","N/A","60.00","300.00","100.00","15.00","N/A","65.00","300.00","N/A","400.00","260.00","300.00","N/A","60.00","65.00","20.00","10.00","TEMA",2014-06-07
"110","150","130","210","180","130","200","180"," 65","400","200"," 12"," 15"," 60","350","120","400","300","300","350"," 60"," 45"," 14","  9","SEKTDI",2014-06-07
"130.00","N/A","N/A","100.00","65.00","N/A","140.00","140.00","40.00","400.00","200.00","15.00","25.00","70.00","350.00","120.00","410.00","150.00","240.00","320.00","40.00","65.00","16.00","10.00","KDUA",2014-06-07
"120","100"," 95","190","120"," 90","160","170"," 44","350","300"," 13"," 20"," 55","110"," 70","350","200","280","300"," 20"," 40","  9","  8","CCOAS",2014-06-07
"150","120","100","210","150"," 98","180","190"," 33","400","240"," 10"," 17"," 53","220","125","450","320","300","320"," 35"," 30","  9"," 10","MKESSI",2014-06-07
"105.0","120.0","110.0","220.0","190.0","100.0","120.0","110.0"," 38.0","250.0","100.0"," 14.0"," 30.0"," 55.0","140.0","120.0","430.0","300.0","200.0","350.0"," 32.0"," 60.0","  6.5"," 10.0","KUMASI",2014-06-07
"85.00","85.00","75.00","190.00","170.00","80.00","100.00","100.00","27.00","290.00","310.00","8.00","10.00","53.00","200.00","160.00","140.00","180.00","260.00","340.00","30.00","N/A","30.00","9.00","EJURA",2014-06-07
"140"," 75"," 75","160","120","100","150","180"," 30","600"," 70"," 20"," 30"," 40","250","120","350","320","350","300"," 15"," 50"," 10"," 10","OBUAS",2014-06-07
"88.00","75.00","75.00","212.00","112.00","N/A","150.00","140.00","25.00","140.00","108.00","8.00","8.00","50.00","190.00","80.00","320.00","280.00","200.00","260.00","40.00","65.00","8.00","8.50","UNYAN",2014-06-07
" 50"," 85"," 85","185","145"," 60"," 95","100"," 30","260"," 80","  7","  8"," 62","170"," 50","100"," 73","160","250"," 32"," 35"," 20","  8","TMAN",2014-06-07
"160.00","93.00","85.00","150.00","110.00","N/A","149.00","153.00","90.00","450.00","91.00","14.00","11.00","80.00","148.00","66.00","400.00","140.00","305.00","410.00","40.00","N/A","24.00","9.00","HO",2014-06-07
"80.00","120.00","80.00","180.00","140.00","65.00","100.00","96.00","55.00","200.00","N/A","20.00","30.00","43.00","64.00","N/A","340.00","250.00","280.00","280.00","N/A","N/A","20.00","10.00","TAMAL",2014-06-07
"80.00","135.00","110.00","130.00","170.00","75.00","110.00","100.00","N/A","250.00","N/A","15.00","18.00","32.00","N/A","N/A","130.00","230.00","240.00","290.00","N/A","N/A",NA,"9.00","BOLGA",2014-06-07
"61.00","107.00","N/A","170.00","110.00","91.00","107.00","97.00","63.00","220.00","N/A","20.00","N/A","84.00","N/A","167.00","75.00","180.00","214.00","239.00","N/A","N/A","19.00","10.00","WA",2014-06-07
