"Maize","Rice Local (Perfumed)","Rice Local (Non-perfum","Rice Imported (Perfume","Rice Imported (Non-perf","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"109.00","118.00","117.00","174.00","138.00","N/A","140.00","167.00","64.00","265.00","192.00","11.00","13.00","55.00","225.00","98.00","310.00","163.00","305.00","330.00","30.00","47.00","14.00","10.00","ACCRA",2014-05-03
"108.00","N/A","N/A","195.00","150.00","N/A","170.00","N/A","60.00","N/A","100.00","N/A","N/A","65.00","250.00","150.00","450.00","260.00","288.00","360.00","50.00","65.00","12.00","10.00","TEMA",2014-05-03
"100","140","120","210","160","130","200","200"," 70","400","160"," 12"," 16"," 60","350","150","380","300","280","300"," 60"," 40"," 12","  9","SEKTDI",2014-05-03
"130.00","N/A","N/A","100.00","65.00","N/A","140.00","140.00","40.00","400.00","200.00","15.00","25.00","70.00","350.00","120.00","410.00","150.00","240.00","320.00","40.00","65.00","16.00","10.00","KDUA",2014-05-03
"120","110"," 95","190","120"," 90","160","170"," 43","350","300"," 14"," 23"," 55","100"," 70","330","200","280","300"," 18"," 34","  9","  8","XCOAS",2014-05-03
"140","125","100","200","130"," 98","170","180"," 32","380","225","  9"," 16"," 53","200","140","450","250","300","320"," 35"," 28"," 12"," 10","XKESSI",2014-05-03
"100.0","120.0","110.0","220.0","185.0","125.0","130.0","110.0"," 40.0","250.0"," 95.0","  8.5"," 21.0"," 55.0","140.0","160.0","350.0","180.0","170.0","280.0"," 25.0"," 65.0","  5.5"," 11.0","KUMASI",2014-05-03
"85.00","85.00","75.00","190.00","170.00","80.00","100.00","100.00","27.00","290.00","310.00","8.00","10.00","53.00","200.00","160.00","140.00","180.00","260.00","340.00","30.00","N/A","30.00","9.00","EJUR",2014-05-03
"120"," 70"," 70","120","100","100","100","100"," 30","500"," 90"," 15"," 25"," 40","175","160","360","160","250","270"," 15"," 40"," 10","  9","OBUAS",2014-05-03
"72.00","75.00","75.00","205.00","114.00","N/A","140.00","140.00","25.00","220.00","90.00","5.00","6.00","48.00","150.00","200.00","250.00","180.00","200.00","260.00","30.00","65.00","15.00","8.00","UNYAN",2014-05-03
"50.00","85.00","85.00","185.00","145.00","60.00","95.00","100.00","30.00","260.00","80.00","7.00","8.00","62.00","170.00","50.00","100.00","73.00","160.00","250.00","32.00","N/A","20.00","8.00","TMAN",2014-05-03
"160.00","93.00","70.00","150.00","110.00","N/A","149.00","153.00","90.00","450.00","91.00","14.00","11.00","80.00","148.00","66.00","400.00","140.00","305.00","410.00","40.00","72.00","24.00","9.00","HO",2014-05-03
"64.00","72.00","64.00","150.00","122.00","65.00","100.00","84.00","60.00","123.00","N/A","10.00","20.00","57.00","91.00","N/A","160.00","142.00","280.00","270.00","N/A","N/A","N/A","10.00","AMAL",2014-05-03
"75.00","100.00","80.00","120.00","100.00","60.00","100.00","100.00","N/A","190.00","N/A","12.00","15.00","30.00","N/A","N/A","100.00","200.00","200.00","290.00","N/A","N/A","N/A","10.00","BOLGA",2014-05-03
"61.00","107.00","N/A","170.00","110.00","91.00","107.00","97.00","63.00","220.00","N/A","20.00","N/A","84.00","N/A","167.00","75.00","180.00","214.00","239.00","N/A","N/A","19.00","10.00","WA",2014-05-03
