"Maize","Rice Local (Perfumed)","Rice Local (Non-perfum","Rice Imported (Perfume","Rice Imported (Non-perf","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"91.00","125.50","89.00","184.00","126.00","N/A","141.00","173.00","68.00","265.00","137.00","10.00","12.00","56.00","270.00","113.00","190.00","215.00","233.00","315.00","40.00","47.00","15.00","10.00","ACCRA",2014-02-08
"80.00","N/A","N/A","190.00","130.00","N/A","170.00","N/A","80.00",NA,"N/A","8.00","10.00","68.00","250.00","150.00","140.00","180.00","240.00","320.00","60.00","65.00","10.00","10.00","TEMA",2014-02-08
"100","140","120","200","150","100","160","150"," 70","380","170"," 14"," 18"," 54","350","120","300","180","270","300"," 60"," 40"," 12"," 10","SEKTDI",2014-02-08
"100.00","N/A","110.00","200.00","110.00","N/A","140.00","140.00","40.00","350.00","150.00","10.00","18.00","70.00","300.00","160.00","250.00","150.00","240.00","300.00","40.00","40.00","8.00","10.00","KDUA",2014-02-08
"110"," 85","100","180","120"," 90","160","170"," 43","270","300","  9"," 20"," 55","100"," 70","250","170","270","280"," 18"," 20","  7","  8","CCOAS",2014-02-08
"110","100"," 85","200","120"," 95","165","165"," 30","300","165","  7"," 14"," 56","170"," 78","260","130","280","300"," 30"," 25"," 10"," 10","MKESSI",2014-02-08
" 95.0","110.0","100.0","196.0","130.0"," 95.0","110.0","100.0"," 35.0","270.0"," 80.0","  6.0"," 15.0"," 60.0","120.0"," 70.0","100.0","180.0","160.0","250.0"," 32.0"," 60.0","  4.5","  8.0","KUMASI",2014-02-08
"51.00","80.00","70.00","160.00","150.00","80.00","120.00","90.00","20.00","108.00","250.00","8.00","10.00","52.00","100.00","35.00","50.00","350.00","290.00","270.00","40.00","N/A","12.00","7.00","EJUR",2014-02-08
"100"," 65"," 65"," 92"," 83","100","160","198"," 30","300"," 70","  5","  9"," 45","100"," 80","200","170","280","260"," 10"," 40","  7","  8","OBUASI",2014-02-08
"64.00","75.00","75.00","207.00","102.00","N/A","140.00","140.00","50.00","180.00","135.00","3.50","4.00","48.00","125.00","80.00","160.00","160.00","180.00","240.00","40.00","65.00","6.00","8.00","UNYAN",2014-02-08
" 58"," 85"," 85","180","140"," 70","190"," 90"," 35","280"," 92","  9"," 10"," 68","140"," 40"," 40"," 81","160","260"," 47"," 35","  5","  8","TMAN",2014-02-08
"70.00","63.00","63.00","110.00","84.00","90.00","220.00","200.00","30.00","300.00","120.00","8.00","10.00","80.00","180.00","140.00","260.00","390.00","390.00","440.00","25.00","N/A","22.00","9.00","HO",2014-02-08
"60.00","60.00","80.00","170.00","140.00","60.00","100.00","80.00","55.00","200.00","N/A","15.00","20.00","43.00","67.00","N/A","150.00","250.00","200.00","260.00","N/A","N/A","20.00","9.00","TAMAL",2014-02-08
"70.00","90.00","75.00","150.00","120.00","66.00","90.00","95.00","N/A","190.00","N/A","16.00","14.00","30.00","N/A","N/A","40.00","200.00","180.00","270.00","N/A","N/A","N/A","10.00","BOLGA",2014-02-08
"61.00","98.00","N/A","170.00","110.00","73.00","107.30","93.40","N/A","190.00","N/A","N/A","N/A","83.50","427.00","125.00","84.00","180.00","190.75","222.00","N/A","N/A","19.00","10.00","WA",2014-02-08
