"Maize","Rice Local (Perfumed)","Rice Local (Non-perfum","Rice Imported (Perfume","Rice Imported (Non-perf","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"89.00","121.50","84.50","183.00","110.00","N/A","137.00","170.00","75.00","280.00","150.00","13.00","16.00","57.00","240.00","80.00","260.00","230.00","277.00","303.00",NA,"49.00","14.00","10.00","ACCRA",2014-01-11
"80.00","N/A","N/A","190.00","130.00","N/A","170.00","N/A","80.00","N/A","N/A","10.00","10.00","68.00","250.00","150.00","150.00","190.00","240.00","320.00","60.00","65.00","10.00","10.00","TEMA",2014-01-11
"100.00","140.00","120.00","200.00","120.00","100.00","200.00","180.00","75.00","350.00","170.00","8.00","15.00","54.00","N/A","150.00","300.00","200.00","250.00","300.00","50.00","40.00","12.00","9.00","SEKTDI",2014-01-11
"94.00",NA,"110.00","135.00","110.00","N/A","140.00","140.00","40.00","300.00","150.00","10.00","18.00","70.00","350.00","120.00","220.00","150.00","240.00","300.00","48.00","30.00","8.00","10.00","KDUA",2014-01-11
"100","100"," 85","180","120"," 90","160","170"," 44","260","300"," 11"," 16"," 55","100"," 70","240","270","270","260"," 20"," 22","  8","  8","CCOAS",2014-01-11
" 90.0"," 95.0"," 82.5","185.0","120.0"," 94.0","160.0","165.0"," 27.0","280.0","160.0","  5.0","  9.5"," 50.0","130.0"," 62.0","180.0","270.0","245.0","250.0"," 34.0"," 27.0"," 11.0","  9.0","MKESSI",2014-01-11
" 80.0"," 83.0"," 80.0","176.0","122.0"," 90.0","120.0","100.0"," 40.0","260.0"," 90.0","  8.5"," 20.0"," 80.0","130.0"," 60.0","120.0","240.0","160.0","250.0"," 24.0"," 60.0","  4.0","  9.0","KUMASI",2014-01-11
" 42"," 80"," 70","160","150"," 80","120"," 90"," 20","108","250","  8"," 10"," 52","100"," 35"," 50","350","290","270"," 40",NA," 12","  8","EJUR",2014-01-11
" 90"," 60"," 60","120"," 78"," 70","100","160"," 20","300","100","  7"," 12"," 45","100"," 75","140","140","300","240"," 24",NA,"  5","  8","OBUASI",2014-01-11
"68.00","75.00","75.00","198.00","109.00","N/A","130.00","180.00","60.00","180.00","135.00","3.50","4.00","48.00","110.00","80.00","140.00","200.00","200.00","240.00","50.00","65.00","7.00","8.00","UNYAN",2014-01-11
" 54"," 85"," 85","180","135"," 70","105","120"," 30","200"," 90"," 10"," 15"," 60","175"," 40"," 44","146","150","240"," 32"," 45","  5","  8","TMAN",2014-01-11
" 70.0"," 62.5"," 62.5","140.0"," 84.0"," 90.0","220.0","200.0"," 30.0","300.0","120.0","  8.0"," 10.0"," 80.0","180.0","140.0","260.0","390.0","390.0","440.0"," 25.0",NA," 22.0","  9.0","HO",2014-01-11
"75.00","85.00","83.00","176.00","120.00","92.00","120.00","110.00","40.00","230.00","N/A","11.00","28.00","55.00","135.00","60.00","90.00","380.00","160.00","250.00","24.00","52.00","5.00","8.00","TAMAL",2014-01-11
"56.00","90.00","65.00","150.00","120.00","60.00","110.00","100.00","N/A","180.00","N/A","15.00","12.00","30.00","N/A","N/A","150.00","300.00","160.00","240.00","N/A","N/A","N/A","10.00","BOLGA",2014-01-11
"54.00","98.00","N/A","170.00","110.00","54.00","107.00","101.00","N/A","160.00","N/A","30.00","N/A","84.00","347.00","100.00","48.00","480.00","175.00","222.00","N/A","N/A","19.00","10.00","WA",2014-01-11
