"Maize","Rice Local (Perfumed)","Rice Local (Non-perfume","Rice Imported (Perfume","Rice Imported (Non-perf","Paddy Rice","Millet","Sorghum","Cassava","Yam (White)","Cocoyam","Plantain (Apentu)","Plantain (Apem)","Palm Oil","Dried Pepper","Fresh pepper","Tomatoes","Onion","Cowpea","Groundnut (Red)","Palm fruits","Smoked Herrings","Oranges","Egg (Commercial)","town","date"
"110.00","124.00","84.00","173.00","140.00","N/A","140.00","167.00","65.00","265.00","193.00","10.00","13.00","56.00","225.00","95.00","275.00","165.00","303.00","340.00","30.00","48.00","14.00","10.00","ACCRA",2014-05-17
"125.00","N/A","N/A","195.00","150.00","N/A","170.00","N/A","60.00","N/A","100.00","10.00","N/A","65.00","250.00","150.00","700.00","250.00","288.00","360.00","50.00","65.00","12.00","10.00","TEMA",2014-05-17
"110","150","130","210","180","130","200","180"," 65","400","200"," 12"," 15"," 60","350","120","400","300","300","350"," 60"," 45"," 14","  9","SEKTDI",2014-05-17
"170.00","N/A","N/A","100.00","65.00","N/A","140.00","140.00","30.00","400.00","200.00","14.00","25.00","70.00","350.00","150.00","500.00","280.00","240.00","300.00","40.00","50.00","10.00","10.00","KDUA",2014-05-17
"120","100"," 95","190","120"," 90","160","170"," 44","350","300"," 13"," 20"," 55","110"," 70","350","200","280","300"," 20"," 40","  9","  8","CCOAS",2014-05-17
"140.0","125.0","100.0","200.0","130.0"," 98.0","175.0","180.0"," 34.0","400.0","220.0","  9.5"," 16.0"," 52.0","200.0","130.0","460.0","260.0","300.0","320.0"," 33.0"," 28.0","  9.5","  9.6","MKESSI",2014-05-17
"100.0","110.0","100.0","220.0","185.0","125.0","120.0","110.0"," 30.0","250.0"," 95.0","  8.5"," 22.0"," 55.0","145.0","170.0","120.0","195.0","180.0","280.0"," 34.0"," 65.0","  5.5"," 10.0","KUMASI",2014-05-17
"85.00","85.00","75.00","190.00","170.00","80.00","100.00","100.00","27.00","290.00","310.00","8.00","10.00","53.00","200.00","160.00","140.00","180.00","260.00","340.00","30.00","N/A","30.00","9.00","EJURA",2014-05-17
"130"," 72"," 72","120","100","100","100","100"," 30","600"," 90"," 15"," 25"," 40","280","240","400","270","250","270"," 15"," 50"," 10","  9","OBUAS",2014-05-17
"88.00","75.00","75.00","203.00","105.00","N/A","150.00","140.00","25.00","260.00","108.00","7.00","8.50","45.00","190.00","160.00","350.00","250.00","200.00","260.00","35.00","65.00","12.00","8.00","UNYAN",2014-05-17
"50.00","85.00","85.00","185.00","145.00","60.00","95.00","100.00","30.00","260.00","80.00","7.00","8.00","62.00","170.00","50.00","100.00","73.00","160.00","250.00","32.00","N/A","20.00","8.00","TMAN",2014-05-17
"160.00","94.00","75.00","150.00","110.00","N/A","149.00","153.00","45.00","620.00","180.00","20.00","32.00","80.00","148.00","80.00","416.00","292.00","390.00","410.00","38.00","N/A","24.00","9.00","HO",2014-05-17
"80.00","70.00","90.00","196.00","146.00","70.00","100.00","84.00","80.00","117.00","N/A","15.00","20.00","57.00","91.00","N/A","450.00","155.00","270.00","280.00","30.00","N/A","N/A","10.00","TAMAL",2014-05-17
"75.00","100.00","80.00","120.00","100.00","60.00","100.00","100.00","N/A","190.00","N/A","12.00","15.00","30.00","N/A","N/A","100.00","200.00","200.00","290.00","N/A","N/A","N/A","10.00","BOLGA",2014-05-17
"61.00","107.00","N/A","170.00","110.00","91.00","107.00","97.00","63.00","220.00","N/A","20.00","N/A","84.00","N/A","N/A","75.00","180.00","214.00","239.00","N/A","N/A","19.00","10.00","WA",2014-05-17
